,title,director,cast,listed_in,description,lower
0,Norm of the North: King Sized Adventure,"Richard Finn, Tim Maltby","Alan Marriott, Andrew Toth, Brian Dobson, Cole Howard, Jennifer Cameron, Jonathan Holmes, Lee Tockar, Lisa Durupt, Maya Kay, Michael Dobson","Children & Family Movies, Comedies",plan awesom wed grandfath polar bear king stolen artifact evil archaeologist,norm of the north: king sized adventure
1,Jandino: Whatever it Takes,,Jandino Asporaat,Stand-Up Comedy,jandino asporaat riff challeng rais kid serenad audienc rous rendit sex comedi,jandino: whatever it takes
2,Transformers Prime,,"Peter Cullen, Sumalee Montano, Frank Welker, Jeffrey Combs, Kevin Michael Richardson, Tania Gunadi, Josh Keaton, Steve Blum, Andy Pessoa, Ernie Hudson, Daran Norris, Will Friedle",Kids' TV,help human alli autobot protect earth onslaught decepticon leader megatron,transformers prime
3,Transformers: Robots in Disguise,,"Will Friedle, Darren Criss, Constance Zimmer, Khary Payton, Mitchell Whitfield, Stuart Allan, Ted McGinley, Peter Cullen",Kids' TV,prison ship crash unleash hundr decepticon earth bumblebe lead new autobot forc protect humankind,transformers: robots in disguise
4,#realityhigh,Fernando Lebrija,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis",Comedies,nerdi high schooler dani final attract longtim crush land cross hair ex social media celebr,#realityhigh
5,Apaches,,"Alberto Ammann, Eloy Azorín, Verónica Echegui, Lucía Jiménez, Claudia Traisac","Crime TV Shows, International TV Shows, Spanish-Language TV Shows",young journalist forc life crime save father famili seri base novel miguel sáez carral,apaches
6,Automata,Gabe Ibáñez,"Antonio Banderas, Dylan McDermott, Melanie Griffith, Birgitte Hjort Sørensen, Robert Forster, Christa Campbell, Tim McInnerny, Andy Nyman, David Ryall","International Movies, Sci-Fi & Fantasy, Thrillers",dystopian futur insur adjust tech compani investig robot kill violat protocol discov global conspiraci,automata
7,Fabrizio Copano: Solo pienso en mi,"Rodrigo Toro, Francisco Schultz",Fabrizio Copano,Stand-Up Comedy,fabrizio copano take audienc particip level standup set reflect sperm bank famili whatsapp group,fabrizio copano: solo pienso en mi
8,Fire Chasers,,,"Docuseries, Science & Nature TV",california 2016 season rage brave backcountri firefight race flame protect home save live docuseri,fire chasers
9,Good People,Henrik Ruben Genz,"James Franco, Kate Hudson, Tom Wilkinson, Omar Sy, Sam Spruell, Anna Friel, Thomas Arnold, Oliver Dimsdale, Diana Hardcastle, Michael Jibson, Diarmaid Murtagh","Action & Adventure, Thrillers",struggl coupl believ luck stash money apart neighbor recent murder,good people
10,Joaquín Reyes: Una y no más,José Miguel Contreras,Joaquín Reyes,Stand-Up Comedy,comedian celebr imperson joaquín rey decid zesti self night stori buse bathroom habit royalti,joaquín reyes: una y no más
11,Kidnapping Mr. Heineken,Daniel Alfredson,"Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins, Mark van Eeuwen, Thomas Cocquerel, Jemima West, David Dencik","Action & Adventure, Dramas, International Movies",beer magnat alfr freddi heineken kidnap 1983 abductor largest ransom demand histori,kidnapping mr. heineken
12,Krish Trish and Baltiboy,,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",Children & Family Movies,team minstrel includ monkey cat donkey narrat folktal indian region rajasthan kerala punjab,krish trish and baltiboy
13,Krish Trish and Baltiboy: Battle of Wits,"Munjal Shroff, Tilak Shetty","Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal, Deepak Chachra",Children & Family Movies,artisan cheat payment lion throne brother inherit stori decept justic,krish trish and baltiboy: battle of wits
